# 0.760692
LHPLU	0	0	1	0	5	1	UCVCLVrIVICIV	ITEM/0.795290
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983557
10/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	10/EA	28.88	DES/0.929758
28.88	1	1	0	0	5	$	null	PRICE/0.814798

# 0.261934
UNV10301	0	0	0	0	8	18.95	BX	ITEM/0.821578
BX	0	0	1	1	2	UNV10301	6	UM/0.712668
6	1	1	0	0	1	BX	SEC.	PRICE/0.744398
SEC.	0	0	0	0	4	6	BLUE	DES/0.844038
BLUE	0	0	1	0	4	SEC.	CLASS.	DES/0.914257
CLASS.	0	0	0	0	6	BLUE	FOLDERS	DES/0.985011
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983154
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983560
10/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	10/EA	18.95	DES/0.929758
18.95	1	1	0	0	5	$	null	PRICE/0.814798

# 0.255913
UNV10272	0	0	0	0	8	18.99	BX	ITEM/0.821600
BX	0	0	1	1	2	UNV10272	6	UM/0.713210
6	1	1	0	0	1	BX	SEC.	PRICE/0.746107
SEC.	0	0	0	0	4	6	GRAY	DES/0.834014
GRAY	0	0	1	0	4	SEC.	CLASS.	DES/0.902356
CLASS.	0	0	0	0	6	GRAY	FOLDERS	DES/0.984211
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983448
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983582
10/EA	0	0	0	0	5	-	$	DES/0.963810
$	0	0	0	1	1	10/EA	18.99	DES/0.916070
18.99	1	1	0	0	5	$	null	PRICE/0.837186

# 0.260531
UNV10271	0	0	0	0	8	18.99	BX	ITEM/0.821437
BX	0	0	1	1	2	UNV10271	6	UM/0.711480
6	1	1	0	0	1	BX	SEC.	PRICE/0.741209
SEC.	0	0	0	0	4	6	GREEN	DES/0.840272
GREEN	0	0	1	0	5	SEC.	CLASS.	DES/0.913987
CLASS.	0	0	0	0	6	GREEN	FOLDERS	DES/0.985937
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.984078
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983575
10/EA	0	0	0	0	5	-	$	DES/0.963810
$	0	0	0	1	1	10/EA	18.99	DES/0.916070
18.99	1	1	0	0	5	$	null	PRICE/0.837186

# 0.250379
UNV10303	0	0	0	0	8	18.95	BX	ITEM/0.821600
BX	0	0	1	1	2	UNV10303	6	UM/0.713210
6	1	1	0	0	1	BX	SEC.	PRICE/0.746107
SEC.	0	0	0	0	4	6	RUBY	DES/0.834014
RUBY	0	0	1	0	4	SEC.	RED	DES/0.902356
RED	0	0	1	0	3	RUBY	CLASS.	DES/0.984211
CLASS.	0	0	0	0	6	RED	FOLDERS	DES/0.983450
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983458
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983557
10/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	10/EA	18.95	DES/0.929758
18.95	1	1	0	0	5	$	null	PRICE/0.814798

# 0.254631
UNV10304	0	0	0	0	8	18.95	BX	ITEM/0.821600
BX	0	0	1	1	2	UNV10304	6	UM/0.713210
6	1	1	0	0	1	BX	SEC.	PRICE/0.746107
SEC.	0	0	0	0	4	6	YELLOW	DES/0.834014
YELLOW	0	0	1	0	6	SEC.	CLASS.	DES/0.902356
CLASS.	0	0	0	0	6	YELLOW	FOLDERS	DES/0.984211
FOLDERS	0	0	1	0	7	CLASS.	-	DES/0.983449
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.983557
10/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	10/EA	18.95	DES/0.929758
18.95	1	1	0	0	5	$	null	PRICE/0.814798

# 0.283513
EVEEN91	0	0	0	0	7	10.85	BX	ITEM/0.749077
BX	0	0	1	0	2	EVEEN91	BATTERY	UM/0.564688
BATTERY	0	0	1	0	7	BX	AA	DES/0.990534
AA	0	0	1	0	2	BATTERY	-	DES/0.952850
-	0	0	0	0	1	AA	24/EA	DES/0.986504
24/EA	0	0	0	0	5	-	$	DES/0.948842
$	0	0	0	1	1	24/EA	10.85	DES/0.930566
10.85	1	1	0	0	5	$	null	PRICE/0.814783

# 0.288318
EVEEN92	0	0	0	0	7	10.50	BX	ITEM/0.748127
BX	0	0	1	0	2	EVEEN92	BATTERY	UM/0.577138
BATTERY	0	0	1	0	7	BX	AAA	DES/0.985874
AAA	0	0	1	0	3	BATTERY	-	DES/0.934467
-	0	0	0	0	1	AAA	24/EA	DES/0.985140
24/EA	0	0	0	0	5	-	$	DES/0.969955
$	0	0	0	1	1	24/EA	10.50	DES/0.929759
10.50	1	1	0	0	5	$	null	PRICE/0.814798

# 0.306176
EVEEN93	0	0	0	0	7	7.99	BX	ITEM/0.746526
BX	0	0	1	0	2	EVEEN93	BATTERY	UM/0.582654
BATTERY	0	0	1	0	7	BX	SIZE	DES/0.987130
SIZE	0	0	1	0	4	BATTERY	C	DES/0.943628
C	0	0	1	0	1	SIZE	-	DES/0.987682
-	0	0	0	0	1	C	12/EA	DES/0.984206
12/EA	0	0	0	0	5	-	$	DES/0.975417
$	0	0	0	1	1	12/EA	7.99	DES/0.918373
7.99	1	1	0	0	4	$	null	PRICE/0.863928

# 0.308665
EVEEN95	0	0	0	0	7	9.99	BX	ITEM/0.746564
BX	0	0	1	0	2	EVEEN95	BATTERY	UM/0.582844
BATTERY	0	0	1	0	7	BX	SIZE	DES/0.984409
SIZE	0	0	1	0	4	BATTERY	D	DES/0.939345
D	0	0	1	0	1	SIZE	-	DES/0.990291
-	0	0	0	0	1	D	12/EA	DES/0.983686
12/EA	0	0	0	0	5	-	$	DES/0.974439
$	0	0	0	1	1	12/EA	9.99	DES/0.918757
9.99	1	1	0	0	4	$	null	PRICE/0.875726

# 0.439131
AVE05705	0	0	0	0	8	2.34	EA	ITEM/0.954954
EA	0	0	1	0	2	AVE05705	BINDER	DES/0.652767
BINDER	0	0	1	0	6	EA	1/2"	DES/0.986466
1/2"	0	0	0	0	4	BINDER	BLACK	DES/0.981323
BLACK	0	0	1	0	5	1/2"	VIEW	DES/0.986291
VIEW	0	0	1	0	4	BLACK	$	DES/0.969673
$	0	0	0	1	1	VIEW	2.34	DES/0.929761
2.34	1	1	0	0	4	$	null	PRICE/0.814799

# 0.441666
AVE05706	0	0	0	0	8	2.34	EA	ITEM/0.954953
EA	0	0	1	0	2	AVE05706	BINDER	DES/0.652796
BINDER	0	0	1	0	6	EA	1/2"	DES/0.986816
1/2"	0	0	0	0	4	BINDER	WHITE	DES/0.981708
WHITE	0	0	1	0	5	1/2"	VIEW	DES/0.988332
VIEW	0	0	1	0	4	WHITE	$	DES/0.971616
$	0	0	0	1	1	VIEW	2.34	DES/0.930488
2.34	1	1	0	0	4	$	null	PRICE/0.814785

# 0.425804
AVE05710	0	0	0	0	8	2.79	EA	ITEM/0.954622
EA	0	0	1	0	2	AVE05710	BINDER	DES/0.640734
BINDER	0	0	1	0	6	EA	1"	DES/0.977593
1"	0	0	0	0	2	BINDER	BLACK	DES/0.979256
BLACK	0	0	1	0	5	1"	VIEW	DES/0.984006
VIEW	0	0	1	0	4	BLACK	$	DES/0.969973
$	0	0	0	1	1	VIEW	2.79	DES/0.929758
2.79	1	1	0	0	4	$	null	PRICE/0.814798

# 0.435752
AVE05711	0	0	0	0	8	2.79	EA	ITEM/0.954621
EA	0	0	1	0	2	AVE05711	BINDER	DES/0.640781
BINDER	0	0	1	0	6	EA	1"	DES/0.978164
1"	0	0	0	0	2	BINDER	WHITE	DES/0.979784
WHITE	0	0	1	0	5	1"	$	DES/0.974768
$	0	0	0	1	1	WHITE	2.79	DES/0.934129
2.79	1	1	0	0	4	$	null	PRICE/0.811301

# 0.423877
AVE05725	0	0	0	0	8	4.25	EA	ITEM/0.954600
EA	0	0	1	0	2	AVE05725	BINDER	DES/0.640689
BINDER	0	0	1	0	6	EA	1.5"	DES/0.979946
1.5"	0	0	0	0	4	BINDER	BLACK	DES/0.980178
BLACK	0	0	1	0	5	1.5"	VIEW	DES/0.984546
VIEW	0	0	1	0	4	BLACK	$	DES/0.962176
$	0	0	0	1	1	VIEW	4.25	DES/0.929829
4.25	1	1	0	0	4	$	null	PRICE/0.814798

# 0.439141
AVE05726	0	0	0	0	8	4.25	EA	ITEM/0.974507
EA	0	0	1	0	2	AVE05726	BINDER	DES/0.648487
BINDER	0	0	1	0	6	EA	1.5"	DES/0.980050
1.5"	0	0	0	0	4	BINDER	WHITE	DES/0.980585
WHITE	0	0	1	0	5	1.5"	VIEW	DES/0.986844
VIEW	0	0	1	0	4	WHITE	$	DES/0.964546
$	0	0	0	1	1	VIEW	4.25	DES/0.930548
4.25	1	1	0	0	4	$	null	PRICE/0.814784

# 0.425804
AVE05730	0	0	0	0	8	4.25	EA	ITEM/0.954622
EA	0	0	1	0	2	AVE05730	BINDER	DES/0.640734
BINDER	0	0	1	0	6	EA	2"	DES/0.977593
2"	0	0	0	0	2	BINDER	BLACK	DES/0.979256
BLACK	0	0	1	0	5	2"	VIEW	DES/0.984006
VIEW	0	0	1	0	4	BLACK	$	DES/0.969973
$	0	0	0	1	1	VIEW	4.25	DES/0.929758
4.25	1	1	0	0	4	$	null	PRICE/0.814798

# 0.428525
AVE05731	0	0	0	0	8	3.56	EA	ITEM/0.954621
EA	0	0	1	0	2	AVE05731	BINDER	DES/0.640782
BINDER	0	0	1	0	6	EA	2"	DES/0.978166
2"	0	0	0	0	2	BINDER	WHITE	DES/0.979674
WHITE	0	0	1	0	5	2"	VIEW	DES/0.986388
VIEW	0	0	1	0	4	WHITE	$	DES/0.971891
$	0	0	0	1	1	VIEW	3.56	DES/0.930485
3.56	1	1	0	0	4	$	null	PRICE/0.814785

# 0.454907
AVE05740	0	0	0	0	8	6.99	EA	ITEM/0.954622
EA	0	0	1	0	2	AVE05740	BINDER	DES/0.640734
BINDER	0	0	1	0	6	EA	3"	DES/0.977593
3"	0	0	0	0	2	BINDER	BLACK	DES/0.979253
BLACK	0	0	1	0	5	3"	VIEW	DES/0.984138
VIEW	0	0	1	0	4	BLACK	$	DES/0.956607
$	0	0	0	1	1	VIEW	6.99	DES/0.944795
6.99	1	1	0	0	4	$	null	PRICE/0.867229

# 0.428525
AVE05741	0	0	0	0	8	7.85	EA	ITEM/0.954621
EA	0	0	1	0	2	AVE05741	BINDER	DES/0.640782
BINDER	0	0	1	0	6	EA	3"	DES/0.978166
3"	0	0	0	0	2	BINDER	WHITE	DES/0.979674
WHITE	0	0	1	0	5	3"	VIEW	DES/0.986388
VIEW	0	0	1	0	4	WHITE	$	DES/0.971891
$	0	0	0	1	1	VIEW	7.85	DES/0.930485
7.85	1	1	0	0	4	$	null	PRICE/0.814785

# 0.427875
AVE07800	0	0	0	0	8	16.24	EA	ITEM/0.954621
EA	0	0	1	0	2	AVE07800	BINDER	DES/0.640762
BINDER	0	0	1	0	6	EA	4"	DES/0.977922
4"	0	0	0	0	2	BINDER	BLUE	DES/0.980945
BLUE	0	0	1	0	4	4"	VIEW	DES/0.986317
VIEW	0	0	1	0	4	BLUE	$	DES/0.971596
$	0	0	0	1	1	VIEW	16.24	DES/0.928431
16.24	1	1	0	0	5	$	null	PRICE/0.814865

# 0.428525
AVE09801	0	0	0	0	8	9.49	EA	ITEM/0.954621
EA	0	0	1	0	2	AVE09801	BINDER	DES/0.640782
BINDER	0	0	1	0	6	EA	4"	DES/0.978166
4"	0	0	0	0	2	BINDER	WHITE	DES/0.979674
WHITE	0	0	1	0	5	4"	VIEW	DES/0.986388
VIEW	0	0	1	0	4	WHITE	$	DES/0.971891
$	0	0	0	1	1	VIEW	9.49	DES/0.930485
9.49	1	1	0	0	4	$	null	PRICE/0.814785

# 0.472685
IVR15925	0	0	0	0	8	5.35	EA	ITEM/0.941412
EA	0	0	1	0	2	IVR15925	CALCULATOR	DES/0.697976
CALCULATOR	0	0	1	0	10	EA	HANDHELD	DES/0.970494
HANDHELD	0	0	1	0	8	CALCULATOR	$	DES/0.973069
$	0	0	0	1	1	HANDHELD	5.35	DES/0.929697
5.35	1	1	0	0	4	$	null	PRICE/0.814803

# 0.309167
AVE5870	0	0	0	0	7	116.99	BX	ITEM/0.878581
BX	0	0	1	0	2	AVE5870	CARDS	UM/0.535300
CARDS	0	0	1	0	5	BX	-	DES/0.983604
-	0	0	0	0	1	CARDS	WHITE	DES/0.961758
WHITE	0	0	1	0	5	-	BUSINESS	DES/0.986163
BUSINESS	0	0	1	0	8	WHITE	-	DES/0.984577
-	0	0	0	0	1	BUSINESS	2000/EA	DES/0.983769
2000/EA	0	0	0	0	7	-	$	DES/0.969978
$	0	0	0	1	1	2000/EA	116.99	DES/0.929758
116.99	1	1	0	0	6	$	null	PRICE/0.814798

# 0.257589
GEO22901	0	0	0	0	8	6.79	PK	ITEM/0.714856
PK	0	0	1	0	2	GEO22901	CERTIFICATE	DES/0.497976
CERTIFICATE	0	0	1	0	11	PK	PAPER	DES/0.960351
PAPER	0	0	1	0	5	CERTIFICATE	-	DES/0.995902
-	0	0	0	0	1	PAPER	25/EA	DES/0.967875
25/EA	0	0	0	0	5	-	$	DES/0.976113
$	0	0	0	1	1	25/EA	6.79	DES/0.929425
6.79	1	1	0	0	4	$	null	PRICE/0.814811

# 0.245616
GEO39087	0	0	0	0	8	4.95	PK	ITEM/0.722687
PK	0	0	1	0	2	GEO39087	CERTIFICATE	DES/0.541091
CERTIFICATE	0	0	1	0	11	PK	AWARD	DES/0.983796
AWARD	0	0	1	0	5	CERTIFICATE	W/	DES/0.985369
W/	0	0	0	0	2	AWARD	GOLD	DES/0.983519
GOLD	0	0	1	0	4	W/	SEAL	DES/0.975721
SEAL	0	0	1	0	4	GOLD	PAPER	DES/0.960085
PAPER	0	0	1	0	5	SEAL	-	DES/0.995374
-	0	0	0	0	1	PAPER	25/EA	DES/0.967718
25/EA	0	0	0	0	5	-	(SCHOOLS	DES/0.987454
(SCHOOLS	0	0	0	0	8	25/EA	USE	DES/0.983406
USE	0	0	1	0	3	(SCHOOLS	ONLY)	DES/0.983558
ONLY)	0	0	0	0	5	USE	$	DES/0.969983
$	0	0	0	1	1	ONLY)	4.95	DES/0.929758
4.95	1	1	0	0	4	$	null	PRICE/0.814798

# 0.297356
SOU994C	0	0	0	0	7	27.99	BX	ITEM/0.878583
BX	0	0	1	0	2	SOU994C	CERTIFICATE	UM/0.535339
CERTIFICATE	0	0	1	0	11	BX	AWARD	DES/0.983180
AWARD	0	0	1	0	5	CERTIFICATE	IVORY	DES/0.960982
IVORY	0	0	1	0	5	AWARD	W/	DES/0.983738
W/	0	0	0	0	2	IVORY	SILVER	DES/0.983455
SILVER	0	0	1	0	6	W/	-	DES/0.983459
-	0	0	0	0	1	SILVER	15/EA	DES/0.983459
15/EA	0	0	0	0	5	-	(SCHOOLS	DES/0.983459
(SCHOOLS	0	0	0	0	8	15/EA	USE	DES/0.983457
USE	0	0	1	0	3	(SCHOOLS	ONLY)	DES/0.983631
ONLY)	0	0	0	0	5	USE	$	DES/0.963369
$	0	0	0	1	1	ONLY)	27.99	DES/0.931595
27.99	1	1	0	0	5	$	null	PRICE/0.846438

# 0.235201
UNV40304	0	0	0	0	8	1.44	EA	ITEM/0.937959
EA	0	0	1	0	2	UNV40304	CLIPBOARD	UM/0.541355
CLIPBOARD	0	0	1	1	9	EA	8.5	DES/0.953201
8.5	1	1	0	0	3	CLIPBOARD	X	PRICE/0.800044
X	0	0	1	0	1	8.5	11"	DES/0.933472
11"	0	0	0	0	3	X	LETTER	DES/0.931444
LETTER	0	0	1	0	6	11"	-	DES/0.986073
-	0	0	0	0	1	LETTER	BROWN	DES/0.983530
BROWN	0	0	1	0	5	-	$	DES/0.969984
$	0	0	0	1	1	BROWN	1.44	DES/0.929758
1.44	1	1	0	0	4	$	null	PRICE/0.814798

# 0.097097
UNV72210	0	0	0	0	8	1.89	PK	ITEM/0.673931
PK	0	0	1	0	2	UNV72210	CLIPS	DES/0.482860
CLIPS	0	0	1	0	5	PK	PAPER	DES/0.970052
PAPER	0	0	1	0	5	CLIPS	MEDIUM	DES/0.994948
MEDIUM	0	0	1	0	6	PAPER	-	DES/0.965021
-	0	0	0	1	1	MEDIUM	10	DES/0.984311
10	1	1	0	0	2	-	OF	PRICE/0.516013
OF	0	0	1	0	2	10	100/EA	DES/0.951155
100/EA	0	0	0	0	6	OF	$	DES/0.822148
$	0	0	0	1	1	100/EA	1.89	DES/0.933737
1.89	1	1	0	0	4	$	null	PRICE/0.814690

# 0.101894
UNV72220	0	0	0	0	8	4.95	PK	ITEM/0.674056
PK	0	0	1	0	2	UNV72220	CLIPS	DES/0.482364
CLIPS	0	0	1	0	5	PK	PAPER	DES/0.963405
PAPER	0	0	1	0	5	CLIPS	JUMBO	DES/0.994383
JUMBO	0	0	1	0	5	PAPER	-	DES/0.968093
-	0	0	0	1	1	JUMBO	10	DES/0.984450
10	1	1	0	0	2	-	OF	PRICE/0.543641
OF	0	0	1	0	2	10	100/EA	DES/0.951401
100/EA	0	0	0	0	6	OF	$	DES/0.822183
$	0	0	0	1	1	100/EA	4.95	DES/0.933735
4.95	1	1	0	0	4	$	null	PRICE/0.814690

# 0.514093
UNV10220	0	0	0	0	8	1.69	DZ	ITEM/0.877938
DZ	0	0	1	0	2	UNV10220	CLIPS	DES/0.909380
CLIPS	0	0	1	0	5	DZ	LARGE	DES/0.952351
LARGE	0	0	1	0	5	CLIPS	BINDER	DES/0.946113
BINDER	0	0	1	0	6	LARGE	-	DES/0.989118
-	0	0	0	0	1	BINDER	12/EA	DES/0.977247
12/EA	0	0	0	0	5	-	$	DES/0.970655
$	0	0	0	1	1	12/EA	1.69	DES/0.929704
1.69	1	1	0	0	4	$	null	PRICE/0.814802

# 0.556590
UNV10210	0	0	0	0	8	0.68	DZ	ITEM/0.914522
DZ	0	0	1	0	2	UNV10210	CLIPS	DES/0.925450
CLIPS	0	0	1	0	5	DZ	MEDIUM	DES/0.966531
MEDIUM	0	0	1	0	6	CLIPS	BINDER	DES/0.952854
BINDER	0	0	1	0	6	MEDIUM	-	DES/0.989308
-	0	0	0	0	1	BINDER	12/EA	DES/0.980072
12/EA	0	0	0	0	5	-	$	DES/0.970604
$	0	0	0	1	1	12/EA	0.68	DES/0.929706
0.68	1	1	0	0	4	$	null	PRICE/0.814802

# 0.514093
UNV10200	0	0	0	0	8	0.39	DZ	ITEM/0.877938
DZ	0	0	1	0	2	UNV10200	CLIPS	DES/0.909380
CLIPS	0	0	1	0	5	DZ	SMALL	DES/0.952351
SMALL	0	0	1	0	5	CLIPS	BINDER	DES/0.946113
BINDER	0	0	1	0	6	SMALL	-	DES/0.989118
-	0	0	0	0	1	BINDER	12/EA	DES/0.977247
12/EA	0	0	0	0	5	-	$	DES/0.970655
$	0	0	0	1	1	12/EA	0.39	DES/0.929704
0.39	1	1	0	0	4	$	null	PRICE/0.814802

# 0.403468
GMT6003	0	0	0	0	7	12.24	BX	ITEM/0.900422
BX	0	0	1	0	2	GMT6003	COFFEE	UM/0.686878
COFFEE	0	0	1	0	6	BX	COLUMBIAN	DES/0.994908
COLUMBIAN	0	0	1	0	9	COFFEE	FAIR	DES/0.960868
FAIR	0	0	1	0	4	COLUMBIAN	TRADE	DES/0.974417
TRADE	0	0	1	0	5	FAIR	K-CUPS	DES/0.983572
K-CUPS	0	0	0	0	6	TRADE	-	DES/0.983456
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.983557
24/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	24/EA	12.24	DES/0.929758
12.24	1	1	0	0	5	$	null	PRICE/0.814798

# 0.377156
GMT14734	0	0	0	0	8	12.24	BX	ITEM/0.851054
BX	0	0	1	0	2	GMT14734	COFFEE	UM/0.662041
COFFEE	0	0	1	0	6	BX	GREEN	DES/0.995405
GREEN	0	0	1	0	5	COFFEE	TEA	DES/0.953583
TEA	0	0	1	0	3	GREEN	K-CUPS	DES/0.982390
K-CUPS	0	0	0	0	6	TEA	-	DES/0.985691
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.986557
24/EA	0	0	0	0	5	-	$	DES/0.969931
$	0	0	0	1	1	24/EA	12.24	DES/0.929760
12.24	1	1	0	0	5	$	null	PRICE/0.814798

# 0.407503
GMT14737	0	0	0	0	8	12.25	BX	ITEM/0.930009
BX	0	0	1	0	2	GMT14737	COFFEE	UM/0.661750
COFFEE	0	0	1	0	6	BX	DECAF	DES/0.996723
DECAF	0	0	1	0	5	COFFEE	GREEN	DES/0.971005
GREEN	0	0	1	0	5	DECAF	TEA	DES/0.974634
TEA	0	0	1	0	3	GREEN	K-CUPS	DES/0.983367
K-CUPS	0	0	0	0	6	TEA	-	DES/0.985679
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.986557
24/EA	0	0	0	0	5	-	$	DES/0.969931
$	0	0	0	1	1	24/EA	12.25	DES/0.929760
12.25	1	1	0	0	5	$	null	PRICE/0.814798

# 0.301982
GMT.f.C21	0	0	0	0	9	12.25	IoYt	ITEM/0.937883
IoYt	0	0	1	1	4	GMT.f.C21	9	DES/0.990690
9	1	1	0	0	1	IoYt	BX	PRICE/0.628788
BX	0	0	1	0	2	9	COFFEE	UM/0.849716
COFFEE	0	0	1	0	6	BX	GREEN	DES/0.966810
GREEN	0	0	1	0	5	COFFEE	TEA/POMEGRANTED	DES/0.966754
TEA/POMEGRANTED	0	0	0	0	15	GREEN	K-CUPS	DES/0.977295
K-CUPS	0	0	0	0	6	TEA/POMEGRANTED	-	DES/0.984183
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.983450
24/EA	0	0	0	0	5	-	Si	DES/0.983557
Si	0	0	1	0	2	24/EA	$	DES/0.969983
$	0	0	0	1	1	Si	12.25	DES/0.929758
12.25	1	1	0	0	5	$	null	PRICE/0.814798

# 0.383894
GMT4061	0	0	0	0	7	12.24	BX	ITEM/0.836343
BX	0	0	1	0	2	GMT4061	COFFEE	UM/0.687680
COFFEE	0	0	1	0	6	BX	DARK	DES/0.995024
DARK	0	0	1	0	4	COFFEE	MAGIC	DES/0.960866
MAGIC	0	0	1	0	5	DARK	K-CUPS	DES/0.974418
K-CUPS	0	0	0	0	6	MAGIC	-	DES/0.983571
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.983556
24/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	24/EA	12.24	DES/0.929758
12.24	1	1	0	0	5	$	null	PRICE/0.814798

# 0.391381
GMT192919	0	0	0	0	9	12.24	BX	ITEM/0.836331
BX	0	0	1	0	2	GMT192919	COFFEE	UM/0.687602
COFFEE	0	0	1	0	6	BX	HOUSE	DES/0.995865
HOUSE	0	0	1	0	5	COFFEE	BLEND	DES/0.970453
BLEND	0	0	1	0	5	HOUSE	K-CUPS	DES/0.985090
K-CUPS	0	0	0	0	6	BLEND	-	DES/0.981083
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.983199
24/EA	0	0	0	0	5	-	$	DES/0.969983
$	0	0	0	1	1	24/EA	12.24	DES/0.929758
12.24	1	1	0	0	5	$	null	PRICE/0.814798

# 0.520968
GMT6520	0	0	0	0	7	12.25	BX	ITEM/0.984714
BX	0	0	1	0	2	GMT6520	COFFEE	UM/0.769097
COFFEE	0	0	1	0	6	BX	BREAKFAST	DES/0.997216
BREAKFAST	0	0	1	0	9	COFFEE	BLEND	DES/0.989121
BLEND	0	0	1	0	5	BREAKFAST	K-CUPS	DES/0.987703
K-CUPS	0	0	0	0	6	BLEND	-	DES/0.981718
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.983192
